der el
besaß poseía
lauf corre
verkehr transporte
verkehr tráfico
show espectáculo
show show
landschaft paisaje
gegner oponente
gegner opositores
gekommen venido
blau azul
persönliche personales
stern estrella
abs abs
herstellung fabricación
ausreichend suficiente
hockey hockey
antonio antonio
lee lee
bestätigt confirmado
bestätigt confirmada
berichtet informó
einheiten unidades
israel israel
sperren bloqueo
sperren bloquear
brasilien brasil
klavier piano
rand rand
rand borde
durchmesser diámetro
ältere mayores
helfen ayuda
helfen ayudar
bewohner residentes
bewohner habitantes
barbara bárbara
barbara barbara
orchester orquesta
orchester orquestas
augsburg augsburg
kennt conoce
nieder abajo
unsere nuestra
unsere nuestras
unsere nuestros
unsere nuestro
schwarzen negros
abgeordneter congresista
abgeordneter diputado
entstehung génesis
netz tejer
netz red
group group
früh temprano
aufgestellt situado
physik física
einträge entradas
gouverneur gobernador
belgien bélgica
belgien belgica
denkmal monumento
treffer coincidencia
ähnliche similar
ähnliche similares
cambridge cambridge
niedersachsen niedersachsen
auto coche
graz graz
heim parador
angenommen adoptado
angenommen aceptado
angenommen aceptada
magazin revista
france france
francisco francisco
starken fuertes
vergangenheit pasado
presse prensa
gegenwart presencia
gegenwart presente
verhindern evitar
verhindern prevenir
wann cuándo
definiert definida
definiert definido
definiert define
religion religión
jena jena
linien líneas
sender transmisor
fallen trampas
besetzung ocupación
methode método
methode metodología
hektar hectárea
hektar hectáreas
zweck propósito
gelesen leído
gründer fundador
gründer fundadores
farben colores
texas texas
meyer meyer
entscheiden decidir
soziale social
erklärung declaración
erklärung explicación
handel comercio
service servicio
ausland extranjero
monat mes
studenten estudiantes
letzter último
letzter ultimo
windows windows
funktionen características
funktionen funciones
listen listas
solid solid
dinge cosas
lübeck lübeck
eigenschaften características
eigenschaften propiedades
günter günter
fließt fluye
versuchen probar
versuchen tratar
versuchen intentar
widerstand resistencia
design diseño
entschieden decidido
offizier oficial
erklären explicar
filmen películas
einrichtungen instalaciones
kongress congreso
white white
erstreckt extiende
verstarb falleció
universitäten universidades
günther günther
schwarze negros
schwarze negro
gottfried gottfried
code código
benötigt necesita
benötigt requerido
management gerencia
songs canciones
beziehung relación
karlsruhe karlsruhe
grad grados
grad grado
mathematik matemáticas
bund liga
amsterdam ámsterdam
amsterdam amsterdam
chinesischen chino
verbessern mejorar
fürst príncipe
vorgesehen previsto
geschützt protegidas
geschützt protegido
profil perfil
glauben creer
glauben fe
wikimedia wikimedia
einschließlich incluyendo
millimeter milímetros
millimeter milímetro
dvd dvd
fuß pie
untersuchung investigación
züge trenes
klassischen clásica
klassischen clásico
portugal portugal
offen abierta
offen abierto
begriffe términos
begriffe conceptos
vergeben perdonar
besetzt ocupado
tabelle tabla
zuschauer espectadores
zuschauer espectador
schwedischen sueco
arnold arnold
reaktion reacción
sozialen social
wahlen elecciones
schriftstellerin escritora
party fiesta
entfernen eliminar
ausgestattet equipada
ausgestattet equipadas
ausgestattet equipado
bestandteil componente
automatisch automáticamente
automatisch automático
automatisch automática
harry harry
eingetragen registrada
eingetragen registrado
regionen regiones
außen exterior
verfassung constitución
getrennt desconectado
getrennt separado
getrennt separados
entfernung distancia
beendet finalizado
beendet terminado
gefahr peligro
minister ministro
speziell específicamente
speziell especial
speziell especialmente
bedarf necesidades
bedarf necesidad
mitarbeit colaboración
mitarbeit cooperación
leopold leopold
plan plan
interessant interesante
sowjetischen soviético
sowjetischen soviética
generation generación
wunsch deseo
drittel tercio
oblast óblast
verurteilt condenado
verurteilt condena
waffen armas
dietrich dietrich
erhoben recaudado
schweren graves
schneider schneider
entwurf borrador
gemeinschaft comunidad
weiße blancos
auszeichnung premio
zugang acceso
garten jardín
weisen sabios
weisen sabio
auftritt aparición
auftritt ocurre
thüringen turingia
tonnen toneladas
afrika áfrica
wagner wagner
inhalte contenido
inhalte contenidos
bedingungen condiciones
entschied decidió
entschied optó
tut hace
ermöglicht permite
verbindungen conexiones
verbindungen acoplamientos
kontrolle control
rathaus ayuntamiento
emil emil
schwerpunkt énfasis
reiches rico
langsam despacito
norwegen noruega
angeblich supuestamente
angeblich supuesta
sebastian sebastian
initiative iniciativa
maßnahmen medidas
aktivitäten actividades
oscar oscar
medaille medalla
chef jefe
dritter tercera
dritter tercero
freiheit libertad
route ruta
doppel doble
baron barón
baron baron
verschieben mover
projekte proyectos
felix felix
felix félix
kamera cámara
priester sacerdote
priester sacerdotes
charakter personaje
erklärte explicó
big big
ausgeführt ejecutado
darstellen representar
organisationen organizaciones
ziehen arrastrar
ziehen arrastre
fahrer conductores
fahrer conductor
verkaufte vendido
magdeburg magdeburg
kommentar comentario
kommentar comentarios
vorbei cerca
bieten ofrecen
bieten ofrecer
wege caminos
time time
debüt debut
eindruck impresión
gedichte poesía
gedichte poemas
produkte productos
besitzer propietario
besitzer propietarios
möglichkeiten oportunidades
donau danubio
spielten jugaban
spielten jugaron
mission misión
amtszeit mandato
kombination combinación
first first
prinz principe
prinz príncipe
endgültig final
endgültig definitivo
kapitel capítulos
kapitel capítulo
juan juan
künste artes
drehbuch guión
versuche intentos
versuche prueba
alternative alternativas
alternative alternativa
infrastruktur infraestructura
praktisch práctico
praktisch prácticamente
value value
jacques jacques
biografie biografía
gründe causas
gründe razones
mündet desemboca
phase etapa
phase fase
junioren juniors
françois françois
antike antigüedad
korrekt correcto
korrekt correctamente
behandlung tratamiento
edits edits
verändert cambiado
erstellen crear
unterscheidet distingue
eng estrecho
eng eng
jack jack
handeln actuar
mary mary
nikolaus nicolás
baute construyó
freunde amigos
frieden paz
stub stub
ruf reputación
ruf llama
herz corazón
handlung acto
pov pov
biographie biografía
eröffnung inauguración
eröffnung apertura
ägypten egipto
größer mayor
mittlere medianas
spanisch español
kollegen colegas
kollegen compañeros
ursprüngliche original
not not
hill hill
irrelevant irrelevante
begannen comenzaron
begannen empezaron
bruno bruno
regensburg regensburg
dortmund dortmund
aktion acción
gemälde pinturas
gemälde pintura
mannheim mannheim
griechenland grecia
neustadt neustadt
leo leo
gestaltung diseño
anspruch reivindicación
angebot oferta
auftreten ocurrir
auftreten ocurrencia
zweifel dudas
reine pura
reine puro
produzent productor
lager campamento
beck beck
historisch históricamente
historisch histórico
niederländischen neerlandés
jones jones
zentralen centrales
blue blue
umgeben rodeado
umgeben rodear
kat kat
net net
wirkt actúa
hitler hitler
mögliche posible
mögliche posibles
verstehe entiendo
wiederholt repite
wiederholt repasado
geeignet adecuado
tatsache hecho
endet finaliza
endet termina
rainer rainer
übernehmen asumir
privaten privado
brand brand
brand incendio
mathematiker matemático
überarbeitet rediseñado
überarbeitet revisado
operation operación
operation cirugía
reden hablar
reden hablando
publikationen publicaciones
eingebaut instalado
studie estudio
zusätzliche adicional
schließen cerrar
patienten pacientes
patienten paciente
bernd bernd
vol vol
alleine solo
alleine solos
alleine sola
linke izquierda
flucht fuga
flucht escape
abt abad
maschinen maquinaria
maschinen máquinas
verbesserung mejoramiento
verbesserung mejora
erforderlich necesario
erforderlich requerido
michel michel
vorkommen ocurrencia
verboten prohibido
erweiterung ampliación
erweiterung extensión
virginia virginia
geschichten historias
schuf creó
modelle modelos
brown brown
rajon raión
statistik estadísticas
fälle casos
weimar weimar
abend noche
anne anne
erfahrungen experiencia
erfahrungen experiencias
stellvertretender adjunto
nordöstlich noreste
schwere pesado
schwere graves
schwere pesados
schwere gravedad
falle trampa
eröffnete abrió
türkischen turco
grab tumba
markus markus
weber weber
earl earl
verbindet eslabones
getötet muertos
getötet matado
samuel samuel
deinen tu
methoden métodos
williams williams
ukraine ucrania
prix prix
innere interior
engagement compromiso
mühle molino
höher mayor
rolf rolf
verwendete utilizó
rostock rostock
bauern campesinos
linz linz
untergebracht alojados
untergebracht ubicado
funktioniert funciona
festung fortaleza
joe joe
rumänien rumanía
plätze plazas
computer computadora
computer ordenador
grün verde
marburg marburg
east east
marke marca
sprich habla
einleitung introducción
nachrichten noticias
kanal canal
weibchen hembra
werte valores
ansprache discurso
entlassen despedido
entlassen despedir
damen señoras
damen damas
weiss weiss
weiss blanco
sprach habló
sprach hablaba
moment momento
zitat cita
krankenhaus hospital
publikum público
publikum publico
publikum audiencia
dame dama
diskutieren discutir
ereignisse eventos
ring anillo
andré andré
dynastie dinastía
militär militares
frühere anteriores
stunde hora
innsbruck innsbruck
gesang canto
existenz existencia
braun marrón
giovanni giovanni
zählte contaba
ziele metas
ziele objetivos
handelte actuaba
handelte actuó
bühne escenario
anerkennung reconocimiento
konflikt conflicto
fahrzeug vehículo
young young
kandidaten candidato
kandidaten candidatos
gewalt violencia
interessiert interesados
interessiert interesado
aktiven activo
kleines pequeño
hören escuchar
einfache simple
einfache fácil
einfache sencillo
passt encaja
dokumentation documentación
krone corona
amerika américa
japanische japonés
format formato
voll lleno
voll llena
voll completo
anerkannt reconocido
anerkannt reconocida
front frente
gewinn ganancia
gewinn ganancias
befördert promovido
umgebaut remodelado
umgebaut reconstruido
frühe temprana
frühe temprano
frühe tempranos
merkmale características
abstand distancia
ständig constantemente
boston boston
major major
beschäftigte asalariados
beschäftigte empleados
stephan stephan
jacob jacob
erreichten conseguida
bereit listos
bereit listo
bereit lista
persönlichkeiten personalidades
langer langer
gesprochen hablado
gesprochen hablando
youtube youtube
erzeugt crea
erzeugt generado
venedig venecia
rollen rodillos
rollen roles
beteiligung participación
alpen alpes
logo logo
logo logotipo
creek creek
trier trier
träger portadores
träger portador
bands bandas
madrid madrid
militärische militares
militärische militar
barcelona barcelona
reste sobras
reste restos
carolina carolina
sekunden segundos
episode episodio
unterschiedlich diferente
blätter hojas
lokalen local
lokalen locales
siege victorias
unserer nuestro
ehren señoría
volkszählung censo
ton sonido
scott scott
dach techo
lernte aprendió
baureihe variante
athen atenas
besiedelt pobladas
sucht adicción
sucht busca
bgcolor bgcolor
basiert basado
sitze asientos
potsdam potsdam
besucher visitantes
mailand milán
schritt paso
eberhard eberhard
arbeiter trabajadores
arbeiter obrero
arbeiter obreros
militärischen militares
militärischen militar
real real
sagte dijo
kardinal cardenal
führer guía
geistlicher sacerdote
oberfläche superficie
analyse análisis
falsche falsa
falsche falsos
organisiert organizada
organisiert organizados
organisiert organizado
koch cocinero
koch koch
weiterleitung redirección
weiterleitung reenvío
ausstellungen exposiciones
roger roger
schlug propuso
tempel templo
bearbeitung edición
wehrmacht wehrmacht
nutzer usuarios
nutzer usuario
gedacht pensado
vierte cuarto
vierte cuarta
erfahrung experiencia
carlos carlos
denken pensamiento
denken pensar
täglich diario
breslau wroclaw
abgelehnt rechazado
abgelehnt rechazada
umfang circunferencia
laufen correr
kern núcleo
dörfer aldeas
bill bill
line line
dom catedral
dom dom
kaufmann comerciante
direkte directo
direkte directa
schließt cierra
schließt cerrando
brief carta
ben ben
ermöglichen permitir
force force
maximal máximo
forum foro
passiert pase
passiert pasa
fahren conducir
physiker físico
preise precios
preise tarifas
philosoph filósofo
klassische clásica
klassische clásico
times times
oliver oliver
ensemble ensemble
diplomat diplomático
wissenschaftler científico
wissenschaftler científicos
malerei pintura
versteht entiende
gewicht peso
erhöht aumenta
absolut absolutamente
who who
glück felicidad
glück suerte
veränderungen cambios
autorin autora
autorin escritora
gitarre guitarra
patrick patrick
patrick patricio
rechtsanwalt abogado
ingenieur ingeniero
manager gerente
manager gestor
manager encargado
senat senado
reisen viajes
rundfunk radio
hoffmann hoffmann
zugänglich accesible
reinhard reinhard
din din
erinnerung recuerdo
erinnerung memoria
erinnerung recordar
erinnerung recordatorio
scheiterte fracasó
urteil sentencia
urteil veredicto
internationaler internacional
botschafter embajador
botschafter embajadores
drehbuchautor guionista
eingefügt insertado
marx marx
nominierung nominación
moritz moritz
festgelegt definido
fdp fdp
road road
media media
üblichen habitual
bauen construir
filmografie filmografía
lord lord
that that
auge ojo
katharina catalina
geweiht consagrado
geburt nacimiento
geburt parto
obere superior
kommandeur comandante
systeme sistemas
america america
rose rose
rose rosa
wales gales
feuer fuego
prüfung auditoría
prüfung examen
prüfung ensayo
vergessen olvidado
vergessen olvidar
day day
polnische polaco
distrikt distrito
iso iso
bestanden aprobado
bestanden insistido
gedreht filmado
irland irlanda
pennsylvania pensilvania
eugen eugen
aufmerksamkeit atención
kunden clientes
erlangen obtener
himmel cielo
hundert cientos
hundert cien
mike mike
adresse dirección
adresse direccion
gelegt colocado
eingang entrada
eva eva
western western
green green
bessere mejores
sir sir
anhänger remolque
anhänger remolques
anhänger colgantes
anhänger seguidores
bearbeitet editado
columbia columbia
kontext contexto
sichtbar visible
sichtbar visibles
blues blues
spanische española
beschlossen decidido
details detalles
info info
herrscher soberano
herrscher gobernantes
planung planificación
leiden sufrimiento
komponisten compositores
victor victor
verdienste méritos
hängt cuelga
hängt depende
verstärkt reforzado
verstärkt reforzada
aufgehoben derogado
aufgehoben levantado
henri henri
partner socio
partner socios
zustimmung aprobación
zustimmung consentimiento
abkürzung atajo
abkürzung abreviatura
jörg jörg
masse masa
chance chance
chance oportunidad
rücken espalda
widmete dedicó
chris chris
test test
test prueba
harald harald
unterstützen apoyar
francis francis
bundeswehr bundeswehr
anforderungen requisitos
schützen proteger
schützen tiradores
verhaftet arrestado
übernahme adquisición
übernahme asunción
florida florida
kader kader
ausgaben gastos
ausgaben ediciones
kommunikation comunicación
kommunikation comunicaciones
gebrauch uso
gebrauch aplicaciones
guter buen
männchen macho
männchen machos
ursprung origen
ursprung orígenes
stücke pedazos
dauer duración
südafrika sudáfrica
bewusst consciente
bewusst conscientemente
bewusst deliberadamente
roland roland
geist espíritu
geist fantasma
della della
katalog catálogo
begrenzt limitado
begrenzt limitada
anlass ocasión
vii vii
argentinien argentina
episoden episodios
entwickeln evolucionar
entwickeln desarrollar
siegfried siegfried
gezogen arrastrado
verkauf venta
play play
objekt objeto
positiv positivo
positiv positiva
bass bass
schreib escribe
interessen intereses
herzogtum ducado
pfarrei parroquia
erfurt erfurt
goethe goethe
master máster
master master
grüne verde
grüne verdes
anmerkungen observaciones
anmerkungen notas
posten partidas
posten publicar
ideen ideas
gedanken pensamiento
gedanken pensamientos
bergen montañas
bergen bergen
veranstaltung evento
verletzt herido
verletzt herida
verletzt heridos
krankheit enfermedad
erweiterte avanzada
unser nuestro
jung joven
jung jung
johnson johnson
umbau remodelación
jesus jesús
via via
königsberg königsberg
getragen llevado
getragen desgastado
transport transporte
foundation foundation
umsetzung implementación
flügel alas
rezeption recepción
kämpfen luchar
baum árbol
abhängig dependiente
abhängig dependientes
abhängig depende
gewissen conciencia
steve steve
sprecher portavoz
ohio ohio
pariser parís
maximilian maximilian
mario mario
wahrheit verdad
istanbul estambul
uwe uwe
bildeten formaron
bildeten formaban
unabhängigkeit independencia
beziehen referir
gipfel cumbres
pop pop
beeinflusst influido
beeinflusst influenciado
vermeiden evitar
vermeiden evita
vermeiden evite
bauer bauer
bauer peón
aktive activos
aktive activo
rosa rosa
produzierte producido
produzierte producida
bundes federal
verständnis comprensión
luxemburg luxemburgo
abgerissen demolido
extrem extrema
extrem extremo
ford ford
begleitet acompañados
begleitet acompañado
begleitet acompaña
viertel barrio
pläne planes
victoria victoria
erworben adquiridos
erworben adquirido
fakten hechos
trennung separación
budapest budapest
unterstützte apoyado
unterstützte soportado
unterstützte apoyó
charlotte charlotte
uss uss
aufmerksam atento
kommando mando
kommando comando
little little
vorteil ventaja
schöne hermosos
schöne hermosa
willen voluntad
expedition expedición
oldenburg oldenburg
geblieben permanecido
gerät dispositivo
berge montañas
grundlagen fundamentos
wilson wilson
varianten variantes
bielefeld bielefeld
verbessert mejorado
verbessert mejora
altar altar
tief profundo
tief profunda
runden redondear
runden vueltas
utc utc
zeitschriften revistas
illinois illinois
chronik crónica
enzyklopädische enciclopédico
public public
identisch idéntico
identisch idénticos
aussehen aspecto
aussehen apariencia
gefängnis cárcel
gefängnis prisión
vorgestellt presentado
gesucht buscado
drama drama
marc marc
maschine máquina
manuel manuel
renaissance renacimiento
sturm tormenta
umstritten polémica
umstritten polémico
umstritten controvertido
kurzfilm cortometraje
prinzessin princesa
geschwindigkeit velocidad
bob bob
exemplare especímenes
exemplare copias
exemplare ejemplares
beschränkt restringido
beschränkt limitada
davis davis
bernard bernard
jerusalem jerusalén
traditionellen tradicionales
traditionellen tradicional
kino cine
übergang transición
ball bola
woiwodschaft voivodato
lernen aprender
tunnel túnel
provinzen provincias
schreibweise ortografía
marcus marcus
franzosen francés
franzosen franceses
minute minuto
verteilt distribuido
geschehen hecho
funde hallazgos
effekt efecto
feierte celebró
gefallen caído
gefallen favores
massachusetts massachusetts
griechisch griego
great great
stockholm estocolmo
gelegen situado
produkt producto
produkt productos
porträt retrato
systematik nomenclatura
vorgänger predecesor
vorgänger predecesores
autobahn autopista
chemiker químico
gestern ayer
umgewandelt convertido
umgewandelt convertidos
umfangreiche extensas
bereiche areas
bereiche áreas
keller sótano
ansatz enfoque
taylor taylor
vorlagen plantillas
flagge bandera
italienisch italiano
schottland escocia
verteidigung defensa
finnland finlandia
etappe etapa
mauer muro
army army
psychologie psicología
redaktion redacción
erfahren aprender
strukturen estructuras
gelb amarillo
fürsten príncipes
nachfolge sucesión
absatz párrafo
bekannter conocido
leichtathletik atletismo
strom electricidad
strom corriente
golden golden
integriert integrado
integriert integra
freier libre
genaue exacta
spuren huellas
spuren pistas
spuren rastros
schwierig difíciles
schwierig difícil
benjamin benjamin
benjamin benjamín
kaufte compré
kaufte compró
angeschlossen conectado
hoffe espero
konzert concierto
jahrbuch anuario
brach rompió
verfügte disponía
ausbauen expandir
ausbauen convertir
heer ejército
erhältlich disponible
beobachtet observado
beobachtet observada
gang pandilla
gang gang
gang pandillas
last last
lehrte enseñaba
lehrte enseñó
jahrzehnten décadas
tirol tirol
eingeweiht inaugurado
eingeweiht dedicado
verhandlungen negociaciones
verhandlungen negociación
beinhaltet incluye
claude claude
zdf zdf
tony tony
schaden daño
schaden daños
zeitungen periódicos
iran irán
seen lagos
feste fiestas
kabinett gabinete
normalerweise normalmente
normalerweise generalmente
normalerweise usualmente
assistent asistente
assistent ayudante
warten esperando
warten esperar
andrew andrew
register registro
register ficha
data data
douglas douglas
beginnen comenzar
beginnen empezar
koblenz koblenz
becker becker
flotte flota
flugzeug avión
server servidor
server servidores
kritisiert críticas
kritisiert critica
angst miedo
angst ansiedad
innen adentro
innen dentro
wesentliche esencial
unbeschränkt ilimitada
unbeschränkt ilimitado
konzerte conciertos
konstruktion construcción
zweites segunda
zweites segundo
erwin erwin
erinnern recordar
bochum bochum
bearbeiten edición
bearbeiten editar
ausdrücklich explícita
ausdrücklich expresas
ausdrücklich explícitamente
ausdrücklich explícito
ausdrücklich expreso
legende leyenda
box caja
besatzung ocupación
besatzung tripulación
vorstellung presentación
schwedische sueca
schwedische sueco
botschaft embajada
brunnen pozo
technisch técnico
uni uni
typische típico
typische típica
legt establece
flora flora
geklärt aclarado
sätze frases
sätze oraciones
paderborn paderborn
night night
museen museos
symbol símbolo
symbol icono
übergeben entregado
eric eric
verfügbar disponible
brüssel bruselas
verlängerung renovación
verlängerung extensión
verlängerung prórroga
ermordet asesinado
ermordet asesinada
parameter parámetro
parameter parámetros
reduziert reduce
reduziert reducido
gegenstand objeto
wollten querían
wollten quisieron
unterschiede diferencias
engel ángel
angepasst adaptado
angepasst ajustado
lokomotiven locomotoras
stationen estaciones
europe europe
auftritte apariciones
warschau varsovia
regionalen regionales
arabischen árabe
fertig listo
fertig terminado
haltung actitud
erfüllen cumplir
normalen normales
phil phil
höhepunkt clímax
nhl nhl
nachkommen descendientes
nachkommen descendencia
liter litro
liter litros
flächen superficies
andrea andrea
vorgeschlagen proponía
kindheit niñez
kindheit infancia
erhebung encuesta
erzählungen cuentos
wind viento
weiler aldea
gezählt contados
gezählt contado
anlegen crear
wächst crece
positionen posiciones
chile chile
lewis lewis
petersburg petersburgo
out out
synagoge sinagoga
engagierte dedicada
engagierte comprometidos
ausgeschlossen excluidos
ausgeschlossen excluido
geographische geográfico
wild salvaje
regionale regional
jackson jackson
analog analógico
analog analógica
lokale local
lokale locales
aufgegeben abandonados
aufgegeben abandonado
long long
szenen escenas
böhmen bohemia
islam islam
annahme adopción
annahme aceptación
annahme hipótesis
oberst coronel
nation nación
präsentiert presentando
präsentiert presentado
haut piel
modern moderno
ray ray
schwierigkeiten dificultades
eigentümer propietario
eigentümer propietarios
são são
bedingt condicional
bedingt condicionales
gefördert promovido
bestes mejor
gabriel gabriel
beschädigt dañado
durchsetzen imponerse
durchsetzen imponer
neutral neutral
pommern pomerania
schwerin schwerin
christen cristianos
sektion sección
saale saale
anfrage petición
gekennzeichnet caracterizado
gearbeitet trabajó
gearbeitet trabajado
forderte pedía
forderte exigió
firmen empresas
firmen compañías
hoffnung esperanza
entwickelten desarrollado
entwickelten desarrollaron
stephen stephen
class class
lösen resolviendo
lösen resolver
ausgebildet entrenado
valign valign
dresdner dresdner
erbe patrimonio
erbe herencia
nassau nassau
verleger editor
verleger editores
ecke rincón
ecke esquina
ruhestand jubilación
ruhestand retiro
sophie sophie
buchstaben letras
buchstaben caracteres
fungierte actuaba
sachen cosas
mittelalterlichen medieval
voraus adelantado
vertrieben expulsado
vertrieben expulsados
sonntag domingo
arena arena
christus cristo
verlust pérdida
this this
gestorben murió
gestorben muerto
verlängert prorrogado
verlängert ampliado
null cero
offene abierto
law law
zone zona
bezeichnungen denominaciones
uefa uefa
gräfin condesa
duisburg duisburg
singles solteros
singles solteras
vorne delante
blut sangre
ersetzen reemplazar
erzählung relato
erzählung narración
pseudonym seudónimo
auswirkungen efectos
auswirkungen impacto
lat lat
bremer bremer
ausführung ejecución
mord asesinato
power power
jäger cazador
jäger cazadores
betroffen afectados
betroffen afectado
betroffen afectada
gaben dieron
gaben dones
berichte informes
ruhr ruhr
gewannen ganaron
carlo carlo
oskar oskar
fahrt paseo
maß medida
tourismus turismo
centre centre
vogel pájaro
fassade fachada
sprint sprint
worte palabras
norbert norbert
franken francos
lady lady
abtei abadía
interpretation interpretación
saarbrücken saarbrücken
adler águila
adler águilas
ursache causa
zerstörung destrucción
beschreiben describir
debütierte debutó
luis luis
stahl acero
fehlende falta
rené rené
entscheidungen decisiones
besucht visitado
besucht visitó
stellten proporcionaron
bedient servido
komposition composición
plus plus
ruhe silencio
ruhe tranquilidad
zugelassen admitidos
zugelassen admitido
serien series
wuppertal wuppertal
georges georges
horn cuerno
kritiker crítico
kritiker críticos
institutionen instituciones
konsens consenso
sydney sydney
geräte dispositivos
erwarten esperar
schnitt corte
ali alí
ali ali
religiösen religiosos
religiösen religioso
klassen clases
ibn ibn
partien lotes
nrw nrw
geleitet guiado
kilometern kilómetros
weibliche hembra
achtelfinale octavos
abstieg descenso
abstieg llanura
alliierten aliado
alliierten aliados
space space
anthony anthony
brian brian
siedlungen asentamientos
asien asia
pianist pianista
country country
old old
blatt hoja
änderte cambió
hildesheim hildesheim
griechische griego
geschlagen golpeado
bekanntheit reconocimiento
bekanntheit notoriedad
programme programas
befehl orden
befehl comando
bestimmung determinación
free free
marathon maratón
demokratie democracia
tier animal
bnr bnr
geschlecht sexo
instrument instrumento
angezeigt mostrado
gießen verter
aufklärung ilustración
aufgeteilt dividido
aufgeteilt divididos
kopenhagen copenhague
rücktritt dimisión
rücktritt renuncia
summe suma
rektor rector
ändert cambia
klingt suena
fielen cayeron
musical musical
burgen castillos
ansehen ver
jersey jersey
osnabrück osnabrück
antworten respuestas
witwe viuda
hart duro
hart hart
zeichnungen dibujos
gerd gerd
gespräch conversación
gespräch charla
reserve reserva
kräfte fuerzas
kim kim
year year
bewertung valoración
bewertung evaluación
bewertung calificación
jugendliche adolescentes
jugendliche jóvenes
genf ginebra
verdacht sospecha
tokio tokio
hügel colinas
hügel colina
junior junior
ans ans
materialien materiales
gelegenheit oportunidad
schau mira
chinesische chino
chinesische china
obersten supremo
christliche cristiano
onkel tio
onkel tío
end end
abstimmung votaciones
abstimmung votación
wein vinos
wein vino
gegenteil opuesto
richtlinien pautas
richtlinien políticas
element elemento
kapitän capitán
natürlichen natural
natürlichen naturales
weite inmensidad
räume cuartos
kooperation cooperación
reiste viajó
reiste viajaba
fortsetzung continuación
fortsetzung secuela
natürliche natural
natürliche naturales
büro oficina
plattform plataforma
gewinnt gana
ulm ulm
spieltag jornada
regelung regulación
ard ard
diplom diplomado
diplom diploma
westliche occidental
westliche occidentales
verfolgung persecución
motiv motivo
usd usd
kandidat candidato
gray gray
jura jura
gezwungen forzado
gezwungen forzada
bachelor bachelor
abstammung linaje
off off
berichten informes
johanna johanna
johanna juana
niederländische neerlandés
straßburg estrasburgo
alan alan
may may
temperatur temperatura
komödie comedia
fans fans
gehabt tenido
getan hecho
wiederaufbau reconstrucción
abgelöst relevado
hollywood hollywood
vorsitzenden presidentes
toronto toronto
aufstand rebelión
lateinischen latín
ähnliches similar
ernennung nombramiento
engagiert comprometidos
engagiert contratado
bulgarien bulgaria
gesetze leyes
stufe escalón
stufe nivel
stufe etapa
vorsitzende presidentes
vorsitzende presidenta
christopher christopher
philadelphia filadelfia
verbot prohibición
zurzeit actualmente
vollständige completo
zellen células
zellen celdas
walther walther
identität identidad
home home
tot muertos
tot muerto
mach haz
boote barcos
hagen hagen
fotograf fotógrafo
stars estrellas
dicht denso
hit hit
can can
champions champions
champions campeones
erscheinung aparición
erscheinung apariencia
sang sang
miller miller
alex alex
verhindert evita
verhindert previene
brigade brigada
sed sed
council council
gitarrist guitarrista
flugzeuge aviones
michigan michigan
howard howard
viii viii
steiermark estiria
gefertigt fabricado
gewinner ganadores
amerikaner americanos
amerikaner estadounidense
verzeichnet enumera
verzeichnet enumerado
gesundheit salud
premiere premiere
premiere estreno
niemals nunca
special special
verantwortung responsabilidades
verantwortung responsabilidad
reiner puro
lorenz lorenz
unternahm emprendió
polnisch polaco
wandte aplicó
fährt maneja
fährt conduce
sonstige otros
unabhängige independiente
unabhängige independientes
herum alrededor
unterschrieb firmó
geschickt enviado
bestimmen determinar
retten salvar
briefe cartas
ausbruch erupción
ausbruch brote
hamilton hamilton
sorgen preocupaciones
fertigstellung terminación
fertigstellung finalización
flug vuelo
gesichert asegurado
schatten sombra
dan dan
project project
minnesota minnesota
übersetzer traductor
ausgestellt expedido
ausgestellt emitido
ersatz reemplazo
ersatz sustitución
erkennt detecta
erkennt reconoce
löwen león
löwen leones
jagd caza
unsinn tonterías
volker volker
sitzen sentado
sitzen sentarse
typisch típico
typisch típica
betriebe explotaciones
parks parques
argumentation razonamiento
straßenbahn tranvía
christine christine
verordnung ordenanza
verordnung reglamento
abgeleitet derivado
abgeleitet deriva
ministerium ministerio
zurückgezogen retirado
express express
express expreso
begriffsklärung desambiguación
german spanish
gebirge montañas
jim jim
disziplin disciplina
dokumente documentos
lust ganas
lust lujuria
einsätze apuestas
chemische química
point point
basketball baloncesto
orchestra orchestra
beides ambos
beides ambas
gelbe amarillo
vorname nombre
florenz florencia
konferenz conferencia
sound sonido
bamberg bamberg
dokumentiert documentado
dokumentiert documenta
vergleichbar comparables
vergleichbar comparable
schönen bellas
lothar lothar
ausgewählt seleccionado
ausgewählt seleccionados
wille voluntad
wille albedrío
clemens clemens
clemens clemente
grafik gráfico
grafik gráficos
nutzte aprovechó
nutzte utilizó
nutzte usó
death death
normale normales
normale normal
tschechoslowakei checoslovaquia
julia julieta
julia julia
sun sun
kenntnis conocimiento
francesco francesco
motoren motores
klinik clínica
religiöse religioso
lippe labio
künstlerische artística
konstanz constanza
organisierte organizada
behauptung afirmación
maße dimensiones
schicksal destino
act act
entdeckte descubrió
bibel biblia
unentschieden empate
verschiebung desplazamiento
schwestern hermanas
jahrzehnte décadas
hubert hubert
vorbereitung preparación
inklusive incluye
inklusive incluyendo
inklusive incluido
harvard harvard
mengen cantidades
nick nick
sam sam
schäden daños
reihenfolge orden
reihenfolge secuencia
dachte pensé
dachte pensaba
conrad conrad
